Store,Date,Elasticity,Elasticity_Segment,Base_Price,Recommended_Price,Recommended_Multiplier,Recommended_Demand,Recommended_Revenue,Expected_Demand_Change_Pct,Expected_Revenue_Change_Pct,Decision_Type
33,2012-10-26,-0.023506111200802284,LowSensitivity,99.63,113.57820000000001,1.1400000000000001,265433.8223964506,30147495.76690855,-0.4093440746396171,13.53334775491084,GuardrailedOptimum
34,2012-10-26,-0.004864478742456598,LowSensitivity,97.8,111.492,1.1400000000000001,969426.8649895885,108083340.0314192,-0.1581225476211201,13.819740295711934,GuardrailedOptimum
35,2012-10-26,-0.009165093389261709,LowSensitivity,96.58,110.1012,1.1400000000000001,858543.5419803731,94526674.22428946,-0.17850806632087046,13.79650080439423,GuardrailedOptimum
36,2012-10-26,-0.01560061540354607,LowSensitivity,100.13,114.1482,1.1400000000000001,293590.43528092204,33512819.724533748,-0.5050413312946422,13.424252882324117,GuardrailedOptimum
37,2012-10-26,-0.008678280641153498,LowSensitivity,101.6,115.82400000000001,1.1400000000000001,543290.3600101941,62926062.65782073,-0.27355589798985225,13.68814627629158,GuardrailedOptimum
38,2012-10-26,-0.007328155999644882,LowSensitivity,97.18,110.78520000000002,1.1400000000000001,432054.2660606073,47865218.276377596,-0.3540929515025826,13.596334035287061,GuardrailedOptimum
39,2012-10-26,-0.022906080163078497,LowSensitivity,90.0,102.60000000000001,1.1400000000000001,1550927.4533504196,159125156.71375307,-0.13628927241572386,13.844630229446086,GuardrailedOptimum
40,2012-10-26,-0.03736096016062305,LowSensitivity,102.43,116.77020000000002,1.1400000000000001,962398.0903319989,112379417.48768559,-0.08537419024696735,13.902673423118461,GuardrailedOptimum
41,2012-10-26,-0.004263287846783479,LowSensitivity,95.95,109.38300000000001,1.1400000000000001,1383065.5203758164,151283855.81526795,-0.13884683218956528,13.841714611303924,GuardrailedOptimum
42,2012-10-26,-0.013056494834596671,LowSensitivity,104.54,119.17560000000002,1.1400000000000001,577119.4208097034,68778553.2466489,-0.14154996524979868,13.838633039615233,GuardrailedOptimum
43,2012-10-26,-0.010458351627105615,LowSensitivity,100.92,115.04880000000001,1.1400000000000001,630310.8447914767,72516506.32024565,-0.2429879672100288,13.722993717380572,GuardrailedOptimum
44,2012-10-26,-0.014473974487695468,LowSensitivity,111.76,127.40640000000002,1.1400000000000001,349570.34653598326,44537499.3989021,0.0,14.000000000000012,GuardrailedOptimum
45,2012-10-26,-0.010665469486343379,LowSensitivity,105.01,119.71140000000001,1.1400000000000001,747802.7387587668,89520512.78064625,0.0,14.000000000000012,GuardrailedOptimum
